Search Term,climate
Geography,Worldwide
Time Period,2004-P
Type,Web Search
,
Time,Normalized Value (0-100),Absolute Google Search Volume
2003-12-31,29,3287827
2004-01-31,33,3741320
2004-02-29,33,3741320
2004-03-31,30,3401200
2004-04-30,37,4194813
2004-05-31,21,2380840
2004-06-30,18,2040720
2004-07-31,22,2494213
2004-08-31,30,3401200
2004-09-30,32,3627947
2004-10-31,33,3741320
2004-11-30,24,2720960
2004-12-31,32,3627947
2005-01-31,32,3627947
2005-02-28,29,3287827
2005-03-31,31,3514573
2005-04-30,33,3741320
2005-05-31,23,2607586
2005-06-30,16,1813973
2005-07-31,18,2040720
2005-08-31,27,3061080
2005-09-30,31,3514573
2005-10-31,31,3514573
2005-11-30,23,2607586
2005-12-31,28,3174453
2006-01-31,29,3287827
2006-02-28,29,3287827
2006-03-31,26,2947707
2006-04-30,29,3287827
2006-05-31,22,2494213
2006-06-30,17,1927346
2006-07-31,18,2040720
2006-08-31,23,2607586
2006-09-30,28,3174453
2006-10-31,27,3061080
2006-11-30,19,2154093
2006-12-31,26,2947707
2007-01-31,31,3514573
2007-02-28,29,3287827
2007-03-31,28,3174453
2007-04-30,30,3401200
2007-05-31,23,2607586
2007-06-30,18,2040720
2007-07-31,20,2267466
2007-08-31,24,2720960
2007-09-30,27,3061080
2007-10-31,29,3287827
2007-11-30,23,2607586
2007-12-31,25,2834333
2008-01-31,25,2834333
2008-02-29,26,2947707
2008-03-31,27,3061080
2008-04-30,26,2947707
2008-05-31,21,2380840
2008-06-30,17,1927346
2008-07-31,17,1927346
2008-08-31,23,2607586
2008-09-30,25,2834333
2008-10-31,23,2607586
2008-11-30,20,2267466
2008-12-31,21,2380840
2009-01-31,23,2607586
2009-02-28,24,2720960
2009-03-31,23,2607586
2009-04-30,24,2720960
2009-05-31,20,2267466
2009-06-30,17,1927346
2009-07-31,18,2040720
2009-08-31,23,2607586
2009-09-30,26,2947707
2009-10-31,31,3514573
2009-11-30,35,3968067
2009-12-31,25,2834333
2010-01-31,25,2834333
2010-02-28,24,2720960
2010-03-31,24,2720960
2010-04-30,23,2607586
2010-05-31,17,1927346
2010-06-30,15,1700600
2010-07-31,16,1813973
2010-08-31,19,2154093
2010-09-30,20,2267466
2010-10-31,20,2267466
2010-11-30,16,1813973
2010-12-31,18,2040720
2011-01-31,18,2040720
2011-02-28,20,2267466
2011-03-31,18,2040720
2011-04-30,19,2154093
2011-05-31,15,1700600
2011-06-30,13,1473853
2011-07-31,13,1473853
2011-08-31,17,1927346
2011-09-30,18,2040720
2011-10-31,18,2040720
2011-11-30,14,1587226
2011-12-31,16,1813973
2012-01-31,19,2154093
